Country,Temperature Low,Country & Province,Humidity,Dew Point,Temperature High,Uv Index
Afghanistan,1.872222222222221,Afghanistan,0.56,28.35,14.094444444444443,7
Afghanistan,3.122222222222221,Afghanistan,0.63,29.3,8.544444444444446,4
Afghanistan,-1.8944444444444446,Afghanistan,0.75,33.24,8.08888888888889,5
Afghanistan,-1.8944444444444446,Afghanistan,0.75,33.24,8.08888888888889,5
Albania,6.916666666666669,Albania,0.5,30.87,18.044444444444448,4
Albania,8.972222222222221,Albania,0.73,44.02,17.82777777777778,3
Albania,7.511111111111113,Albania,0.84,43.92,10.966666666666669,3
Albania,7.511111111111113,Albania,0.84,43.92,10.966666666666669,3
Albania,6.327777777777778,Albania,0.84,44.06,12.361111111111112,3
Albania,4.061111111111113,Albania,0.73,39.0,13.08888888888889,4
Albania,6.305555555555556,Albania,0.64,36.36,16.155555555555555,5
Albania,6.305555555555556,Albania,0.64,36.36,16.155555555555555,5
Albania,8.477777777777778,Albania,0.61,42.02,22.294444444444444,5
Albania,8.477777777777778,Albania,0.61,42.02,22.294444444444444,5
Algeria,10.027777777777777,Algeria,0.19,17.24,26.044444444444444,5
Algeria,10.388888888888891,Algeria,0.11,4.64,27.52777777777778,7
Algeria,11.461111111111114,Algeria,0.1,5.05,27.266666666666666,7
Algeria,12.005555555555556,Algeria,0.16,14.03,28.277777777777782,8
Algeria,15.088888888888887,Algeria,0.04,-8.33,30.833333333333336,8
Algeria,15.088888888888887,Algeria,0.04,-8.33,30.833333333333336,8
Algeria,15.088888888888887,Algeria,0.04,-8.33,30.833333333333336,8
Algeria,13.377777777777778,Algeria,0.08,5.33,29.111111111111114,8
Algeria,13.377777777777778,Algeria,0.08,5.33,29.111111111111114,8
Algeria,13.694444444444445,Algeria,0.14,15.45,29.511111111111116,8
Algeria,13.694444444444445,Algeria,0.14,15.45,29.511111111111116,8
Algeria,16.305555555555557,Algeria,0.14,15.9,31.044444444444444,9
Algeria,16.305555555555557,Algeria,0.14,15.9,31.044444444444444,9
Algeria,16.305555555555557,Algeria,0.14,15.9,31.044444444444444,9
Algeria,16.305555555555557,Algeria,0.14,15.9,31.044444444444444,9
Algeria,15.92222222222222,Algeria,0.07,5.56,32.733333333333334,8
Algeria,15.92222222222222,Algeria,0.07,5.56,32.733333333333334,8
Algeria,7.144444444444445,Algeria,0.17,13.44,22.42777777777778,8
Algeria,7.144444444444445,Algeria,0.17,13.44,22.42777777777778,8
Algeria,8.350000000000001,Algeria,0.16,8.3,23.444444444444446,8
Algeria,8.350000000000001,Algeria,0.16,8.3,23.444444444444446,8
Algeria,10.372222222222224,Algeria,0.14,10.58,25.044444444444444,8
Algeria,10.372222222222224,Algeria,0.14,10.58,25.044444444444444,8
Algeria,10.372222222222224,Algeria,0.14,10.58,25.044444444444444,8
Algeria,10.372222222222224,Algeria,0.14,10.58,25.044444444444444,8
Algeria,11.500000000000002,Algeria,0.18,16.47,24.405555555555562,9
Algeria,12.4,Algeria,0.2,21.81,26.677777777777777,6
Algeria,12.4,Algeria,0.2,21.81,26.677777777777777,6
Algeria,12.4,Algeria,0.2,21.81,26.677777777777777,6
Andorra,-1.338888888888889,Andorra,0.51,17.09,4.927777777777776,3
Andorra,6.333333333333333,Andorra,0.55,33.1,17.66111111111111,3
Andorra,6.333333333333333,Andorra,0.55,33.1,17.66111111111111,3
Argentina,7.8999999999999995,Argentina,0.52,39.33,24.34444444444444,10
Argentina,14.833333333333336,Argentina,0.36,32.99,33.01666666666667,9
Argentina,21.366666666666664,Argentina,0.27,45.25,37.51111111111111,9
Argentina,18.81111111111111,Argentina,0.32,47.7,34.577777777777776,8
Argentina,12.588888888888887,Argentina,0.17,23.18,30.233333333333334,5
Argentina,12.588888888888887,Argentina,0.17,23.18,30.233333333333334,5
Argentina,15.122222222222222,Argentina,0.41,38.16,30.450000000000003,6
Argentina,15.122222222222222,Argentina,0.41,38.16,30.450000000000003,6
Argentina,17.794444444444444,Argentina,0.45,49.19,30.311111111111114,5
Argentina,16.461111111111112,Argentina,0.75,63.6,29.977777777777774,5
Argentina,16.461111111111112,Argentina,0.75,63.6,29.977777777777774,5
Argentina,16.461111111111112,Argentina,0.75,63.6,29.977777777777774,5
Argentina,16.461111111111112,Argentina,0.75,63.6,29.977777777777774,5
Argentina,21.43888888888889,Argentina,0.64,59.18,32.88333333333333,5
Argentina,21.43888888888889,Argentina,0.64,59.18,32.88333333333333,5
Argentina,21.43888888888889,Argentina,0.64,59.18,32.88333333333333,5
Argentina,21.43888888888889,Argentina,0.64,59.18,32.88333333333333,5
Argentina,21.43888888888889,Argentina,0.64,59.18,32.88333333333333,5
Armenia,-2.3888888888888893,Armenia,0.32,5.34,5.272222222222224,4
Australia,20.555555555555557,Australia New South Wales,0.87,72.61,29.050000000000004,11
Australia,19.59444444444444,Australia New South Wales,0.87,65.3,23.55,5
Australia,20.21666666666667,Australia New South Wales,0.64,62.74,34.13333333333333,5
Australia,20.21666666666667,Australia New South Wales,0.64,62.74,34.13333333333333,5
Australia,19.56111111111111,Australia New South Wales,0.83,65.0,23.205555555555556,5
Australia,20.84444444444444,Australia New South Wales,0.95,71.85,25.2,5
Australia,17.105555555555554,Australia New South Wales,0.83,61.66,22.127777777777776,7
Australia,17.305555555555557,Australia New South Wales,0.74,59.49,24.55,9
Australia,20.483333333333338,Australia Queensland,0.91,69.4,24.87222222222222,7
Australia,18.35555555555556,Australia Victoria,0.65,56.27,28.994444444444444,8
Australia,18.35555555555556,Australia Victoria,0.65,56.27,28.994444444444444,8
Australia,18.35555555555556,Australia Victoria,0.65,56.27,28.994444444444444,8
Australia,20.994444444444447,Australia Western Australia,0.5,64.56,36.87222222222223,12
Australia,22.522222222222226,Australia Western Australia,0.41,54.66,32.92777777777778,6
Austria,-1.1388888888888893,Austria,0.71,31.9,12.100000000000001,2
Austria,-2.511111111111111,Austria,0.62,17.99,5.094444444444446,2
Austria,-2.511111111111111,Austria,0.62,17.99,5.094444444444446,2
Austria,0.7500000000000008,Austria,0.74,30.12,6.749999999999999,2
Austria,-2.7777777777777777,Austria,0.83,30.33,4.061111111111113,2
Austria,-2.7777777777777777,Austria,0.83,30.33,4.061111111111113,2
Austria,-0.3555555555555559,Austria,0.65,19.79,4.194444444444443,3
Austria,-0.3555555555555559,Austria,0.65,19.79,4.194444444444443,3
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-1.3722222222222216,Austria,0.88,31.51,5.022222222222222,2
Austria,-2.983333333333334,Austria,0.79,26.69,3.050000000000001,2
Austria,-2.983333333333334,Austria,0.79,26.69,3.050000000000001,2
Austria,-2.983333333333334,Austria,0.79,26.69,3.050000000000001,2
